File created on 2020-10-07T15:24:25.164921
#COOR
GSM


#START
2000 07 15 03 54 00 000       -3.27      -4.99       2.01    -730.80     -86.62       9.22       3.50  542738.00
2000 07 15 03 55 00 000       -2.96      -5.25       1.86    -728.90     -77.25      14.19       2.26  722219.00
2000 07 15 03 56 00 000       -2.76      -5.60       1.40    -728.80     -76.69      14.59       2.18  733468.00
2000 07 15 03 57 00 000       -2.29      -5.76       1.33    -739.20     -74.53       9.24       2.05  649781.00
2000 07 15 03 58 00 000       -2.99      -5.48       1.39    -725.50     -82.36      18.34       1.80 1050747.00
2000 07 15 03 59 00 000       -3.20      -5.61       1.48    -733.80     -76.22      11.79       2.39  598797.00
2000 07 15 04 00 00 000       -3.55      -5.66       1.24    -721.40     -83.55       7.24       3.21  748202.00
2000 07 15 04 01 00 000       -4.38      -5.01       1.32    -729.10     -80.75       8.66       2.53  512439.00
2000 07 15 04 02 00 000       -4.59      -4.83       1.40    -735.50     -83.59      14.03       1.84  784525.00
2000 07 15 04 03 00 000       -3.43      -5.70       1.36    -725.30     -71.22      -0.30       1.31 1053119.00
2000 07 15 04 04 00 000       -3.96      -5.41       1.66    -748.60     -62.92       9.36       1.27  358180.00
2000 07 15 04 05 00 000       -3.22      -6.12       1.30    -737.70     -63.73      -0.77       1.66  744726.00
2000 07 15 04 06 00 000       -3.08      -5.86       2.27    -729.70     -65.27       9.88       1.97  463364.00
2000 07 15 04 07 00 000       -4.07      -5.21       2.20    -726.00     -68.67       2.41       1.87  807711.00
2000 07 15 04 08 00 000       -3.23      -5.65       2.36    -733.10     -74.61       7.89       1.72  711306.00
2000 07 15 04 09 00 000       -3.37      -5.49       2.51    -715.60     -70.84      19.46       2.07 1004459.00
2000 07 15 04 10 00 000       -3.30      -5.50       2.68    -718.90     -67.92       9.64       1.95  587499.00
2000 07 15 04 11 00 000       -4.21      -5.25       1.79    -725.30     -86.17      27.60       2.57  842115.00
2000 07 15 04 12 00 000       -3.55      -4.50       3.42    -729.80     -90.53      17.77       3.81  559135.00
2000 07 15 04 13 00 000       -3.72      -4.95       2.39    -737.70     -95.01      10.08       3.85  461226.00
2000 07 15 04 14 00 000       -3.94      -5.00       2.05    -731.90     -88.44      13.80       4.01  435661.00
2000 07 15 04 15 00 000       -4.02      -5.10       1.79    -731.80     -91.32      18.51       3.87  410792.00
2000 07 15 04 16 00 000       -3.89      -4.96       1.96    -732.20     -84.79      11.01       3.60  386073.00
2000 07 15 04 17 00 000       -3.82      -4.93       1.95    -734.20     -79.94       9.59       3.59  531368.00
2000 07 15 04 18 00 000       -3.81      -4.86       2.04    -736.50     -84.84      10.65       3.49  381926.00
2000 07 15 04 19 00 000       -4.00      -4.52       2.00    -733.80     -75.42      11.60       3.26  383491.00
2000 07 15 04 20 00 000       -4.02      -4.67       1.51    -729.20     -80.30       6.40       2.72  694844.00
2000 07 15 04 21 00 000       -3.80      -4.96       1.18    -731.10     -79.84       6.10       2.74  786873.00
